,cacao,camaldule,clementin,grandis,halophilu,lyrata,papaya,parvulum,raimondii,rapa,rubella,sinensis,thalian,vinifera
cacao,0.0,0.9999408392972904,0.9998808343634371,0.9998768645872393,0.9999214956680351,0.9999054006580931,0.9998770398970548,0.9999445292258811,0.9999246734326901,0.9999031295457881,0.9998874576017004,0.9999080592204533,0.9999076529375313,0.9998588710773634
camaldule,0.9999408392972904,0.0,0.9998433694324369,0.968975634676012,0.9998829605279639,0.9998912682723097,0.9998229933502916,0.9999367656043885,0.9998646769253816,0.9998423643172345,0.9998435422357252,0.999687778720513,0.9999043570309769,0.999840837325099
clementin,0.9998808343634371,0.9998433694324369,0.0,0.9998074072329047,0.9999129768821944,0.99987274630443,0.9998481947400574,0.9999320800702958,0.9998857377458505,0.9998900421564219,0.9998778895949597,0.9627302575402903,0.9998924235621279,0.9997812431560548
grandis,0.9998768645872393,0.968975634676012,0.9998074072329047,0.0,0.9998647405768802,0.9998766442526724,0.9998287619032736,0.9999083061300966,0.9998684968362467,0.9998215184659968,0.9998200600854426,0.9996845340088325,0.9998853738732194,0.9997661989073443
halophilu,0.9999214956680351,0.9998829605279639,0.9999129768821944,0.9998647405768802,0.0,0.9996245465992549,0.9998752200186,0.9996289679025632,0.999949118762148,0.999694686516661,0.9997086112807206,0.9998815948675458,0.9997172870041532,0.9998898946480816
lyrata,0.9999054006580931,0.9998912682723097,0.99987274630443,0.9998766442526724,0.9996245465992549,0.0,0.9998803328584797,0.9996871693103646,0.9999498678446311,0.9996404625936272,0.9993574713748951,0.9998969970984523,0.9982919789642448,0.9998180470340713
papaya,0.9998770398970548,0.9998229933502916,0.9998481947400574,0.9998287619032736,0.9998752200186,0.9998803328584797,0.0,0.9999285863640406,0.9999324119755303,0.9998778420087657,0.9998678581726825,0.9998412895998274,0.9998773312119396,0.9998240154837023
parvulum,0.9999445292258811,0.9999367656043885,0.9999320800702958,0.9999083061300966,0.9996289679025632,0.9996871693103646,0.9999285863640406,0.0,0.9999508424775296,0.9996691532298209,0.9997120394392246,0.9999270770098269,0.9996239748570505,0.9999186675352134
raimondii,0.9999246734326901,0.9998646769253816,0.9998857377458505,0.9998684968362467,0.999949118762148,0.9999498678446311,0.9999324119755303,0.9999508424775296,0.0,0.9999463194662039,0.9999392851410597,0.9998494218753683,0.9999479270959093,0.9998894567023923
rapa,0.9999031295457881,0.9998423643172345,0.9998900421564219,0.9998215184659968,0.999694686516661,0.9996404625936272,0.9998778420087657,0.9996691532298209,0.9999463194662039,0.0,0.9997179937739522,0.999854683730619,0.9997026873841652,0.999842377617109
rubella,0.9998874576017004,0.9998435422357252,0.9998778895949597,0.9998200600854426,0.9997086112807206,0.9993574713748951,0.9998678581726825,0.9997120394392246,0.9999392851410597,0.9997179937739522,0.0,0.9998397660834336,0.9992754120726731,0.9998517475798012
sinensis,0.9999080592204533,0.999687778720513,0.9627302575402903,0.9996845340088325,0.9998815948675458,0.9998969970984523,0.9998412895998274,0.9999270770098269,0.9998494218753683,0.999854683730619,0.9998397660834336,0.0,0.9999057521259311,0.9998020809498072
thalian,0.9999076529375313,0.9999043570309769,0.9998924235621279,0.9998853738732194,0.9997172870041532,0.9982919789642448,0.9998773312119396,0.9996239748570505,0.9999479270959093,0.9997026873841652,0.9992754120726731,0.9999057521259311,0.0,0.9998804215221244
vinifera,0.9998588710773634,0.999840837325099,0.9997812431560548,0.9997661989073443,0.9998898946480816,0.9998180470340713,0.9998240154837023,0.9999186675352134,0.9998894567023923,0.999842377617109,0.9998517475798012,0.9998020809498072,0.9998804215221244,0.0
