,cacao,camaldule,clementin,grandis,halophilu,lyrata,papaya,parvulum,raimondii,rapa,rubella,sinensis,thalian,vinifera
cacao,0.0,0.43193348609489635,0.4029415109879323,0.4321485523071802,0.4880019124497267,0.45116739305522413,0.4318926437702114,0.44184910069264793,0.3845423841461447,0.43825029127910087,0.4442032759602388,0.38409166813546625,0.4491072464793565,0.38539813334587913
camaldule,0.43193348609489635,0.0,0.4101074839810933,0.1722886670770173,0.433121717255772,0.4155357005803788,0.43656496390512434,0.4044110719251357,0.41686172328575066,0.4104886050556241,0.41372394512374067,0.39499164996451963,0.4117470136639094,0.399939439990354
clementin,0.4029415109879323,0.4101074839810933,0.0,0.4103975031398782,0.47081640406074243,0.4289277270513917,0.41062698612037973,0.4179471744531421,0.3722215758067515,0.40976768368224903,0.42201830853153455,0.24023369212530732,0.42852434313985055,0.37855464836255937
grandis,0.4321485523071802,0.1722886670770173,0.4103975031398782,0.0,0.4322886740675609,0.4148013061301752,0.437086116400185,0.4036484325423255,0.41791488087744655,0.4098616556529062,0.4128486471073849,0.3950194843864635,0.41083673469627735,0.4002101667796688
halophilu,0.4880019124497267,0.433121717255772,0.47081640406074243,0.4322886740675609,0.0,0.4223028967527688,0.48766410242932723,0.4162095004443336,0.4725981038320225,0.420721942784836,0.4228263084863274,0.45750879135601896,0.41866700001930024,0.4667216788128631
lyrata,0.45116739305522413,0.4155357005803788,0.4289277270513917,0.4148013061301752,0.4223028967527688,0.0,0.4502360454783405,0.3674763191992032,0.42504636574904386,0.36843486953982196,0.3681517175913216,0.4110533165085244,0.36383781071739096,0.4283020268569393
papaya,0.4318926437702114,0.43656496390512434,0.41062698612037973,0.437086116400185,0.48766410242932723,0.4502360454783405,0.0,0.4389165470778822,0.4000341527906638,0.42654466566338867,0.4418739982582578,0.39325218583011445,0.45158073868706927,0.4042263078996964
parvulum,0.44184910069264793,0.4044110719251357,0.4179471744531421,0.4036484325423255,0.4162095004443336,0.3674763191992032,0.4389165470778822,0.0,0.4141656212887186,0.3494200519506947,0.3556965583481463,0.39884734832703483,0.3556937578802154,0.41901946905566323
raimondii,0.3845423841461447,0.41686172328575066,0.3722215758067515,0.41791488087744655,0.4725981038320225,0.42504636574904386,0.4000341527906638,0.4141656212887186,0.0,0.4028499196308224,0.4182736933784885,0.3508270485918251,0.4263746195970791,0.36596215070098503
rapa,0.43825029127910087,0.4104886050556241,0.40976768368224903,0.4098616556529062,0.420721942784836,0.36843486953982196,0.42654466566338867,0.3494200519506947,0.4028499196308224,0.0,0.3547467530511892,0.39040979415939137,0.3645107911152924,0.41062233339782406
rubella,0.4442032759602388,0.41372394512374067,0.42201830853153455,0.4128486471073849,0.4228263084863274,0.3681517175913216,0.4418739982582578,0.3556965583481463,0.4182736933784885,0.3547467530511892,0.0,0.4026194263413526,0.35770437343746453,0.42066396999390354
sinensis,0.38409166813546625,0.39499164996451963,0.24023369212530732,0.3950194843864635,0.45750879135601896,0.4110533165085244,0.39325218583011445,0.39884734832703483,0.3508270485918251,0.39040979415939137,0.4026194263413526,0.0,0.40953477078054834,0.3574409835277538
thalian,0.4491072464793565,0.4117470136639094,0.42852434313985055,0.41083673469627735,0.41866700001930024,0.36383781071739096,0.45158073868706927,0.3556937578802154,0.4263746195970791,0.3645107911152924,0.35770437343746453,0.40953477078054834,0.0,0.4273902712540867
vinifera,0.38539813334587913,0.399939439990354,0.37855464836255937,0.4002101667796688,0.4667216788128631,0.4283020268569393,0.4042263078996964,0.41901946905566323,0.36596215070098503,0.41062233339782406,0.42066396999390354,0.3574409835277538,0.4273902712540867,0.0
